species_en,species_zh,rule_id,body_length_mm_min,body_length_mm_max,body_length_mm_mid,bill_length_mm_min,bill_length_mm_max,bill_length_mm_mid,wing_length_mm_min,wing_length_mm_max,wing_length_mm_mid,tail_length_mm_min,tail_length_mm_max,tail_length_mm_mid,tarsus_length_mm_min,tarsus_length_mm_max,tarsus_length_mm_mid,weight_g_min,weight_g_max,weight_g_mid,primary_color,secondary_color,color_black,color_white,color_light_gray,color_dark_gray,color_light_brown,color_dark_brown,color_rufous,color_green,color_yellow,color_blue,color_purple,color_red,Resident,Winter,Summer,Transient,Vagrant,Introduced,Behavior_Sally,Behavior_Glean,Behavior_Sweep,Behavior_Sticky,Behavior_Peck,Behavior_Suck,Behavior_Filter,Behavior_Dive,Behavior_Flycatch,Behavior_Stab,Behavior_SkyToWater,Behavior_Probe,Behavior_Fly,Diet_Plankton,Diet_Annelid,Diet_Mollus,Diet_Hexapod,Diet_Crustacean,Diet_Multipod,Diet_Spider,Diet_Mammal,Diet_Bird,Diet_Reptiles,Diet_Amphibian,Diet_Fish,Diet_CarrionTrash,Diet_Fruit,Diet_Nect,Diet_Seed,Diet_Leaf,ForStrat_WatBelowDeep,ForStrat_WatBelowShallow,ForStrat_Watsurf,ForStrat_Mud,ForStrat_Ground,ForStrat_Understory,ForStrat_MidLayer,ForStrat_Canopy,ForStrat_Aerial,ForStrat_Trunk,ActivityTime_Diurnal,ActivityTime_Nocturnal,Flocks_ConspecificsBreedingSeason,Flocks_ConspecificsNonBreedingSeason,Flocks_Mixed.speciesNonBreedingSeason,Habitat_Forest,Habitat_ForestEdge,Habitat_Shrubland,Habitat_Shortgrass,Habitat_Tallgrass,Habitat_MiddleUpperOfStream,Habitat_PermanentInlandDeltas,Habitat_FreshwaterLakesPools,Habitat_TallEmergentMarshes,Habitat_LowEmergentMarshes,Habitat_RockyArea,Habitat_SubtidalRockRockyReefs,Habitat_Pelagic,Habitat_RockyShoreline,Habitat_SandyPebbleShorelineBeaches,Habitat_Mud_shoreline_intertidal_mudflats,Habitat_DrylandFarming,Habitat_UrbanParks,Habitat_UrbanRuralArea,Habitat_AquaculturePonds,Habitat_SaltExploitationSites,Habitat_PaddyField,Elevation_Plain,Elevation_Low,Elevation_Middle,Elevation_High,Territoriality_BreedingSeason,Territoriality_BreedingSeasonType,Territoriality_NonBreedingSeason,BroodParasites,ColonialBreeding,Nestsite_CliffBanks,Nestsite_WithinFoliages,Nestsite_OnBranches,Nestsite_InCavity,Nestsite_EpiphytesAroundTrunk,Nestsite_Shrubs,Nestsite_SoilSlopeWithVegetation,Nestsite_SoilSlopeWithoutVegetation,Nestsite_ThickTallgrass,Nestsite_Ground,Nestsite_OnWaterbody,Nestsite_ArtificialStructures,Neststructure_Scrape,Neststructure_Platform,Neststructure_Cup,Neststructure_Dome,Neststructure_Bag,Neststructure_DomeWithTunnel,Neststructure_PrimaryCavity,Neststructure_SecondaryCavity,ClutchSizeMean,Dimorphism_Size,Dimorphism_Plumage,EcosystemServices_Pollination,EcosystemServices_SeedDispersal,EcosystemServices_InsectControl,EcosystemServices_RegulationInvasiveSpecies,status_notes,campus_spots
White-breasted Waterhen,白腹秧雞,1,253.8,253.8,253.8,37.6,37.6,37.6,159.8,159.8,159.8,70.7,70.7,70.7,55.7,55.7,55.7,203.1,203.1,203.1,rufous,gray,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8,12,28,2,0,2,0,0,0,4,12,0,0,0,28,4,0,25,0,0,50,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,A,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,1,,醉月湖;生態池
Eurasian Moorhen,紅冠水雞,1,272,272,272,40.4,40.4,40.4,161.3,161.3,161.3,71.8,71.8,71.8,49.8,49.8,49.8,218.9,218.9,218.9,gray,black,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5,20,10,5,0,0,0,0,0,5,10,5,5,0,5,30,0,50,0,0,30,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5.4,0,0,0,0,0,1,,醉月湖;生態池
Malayan Night Heron,黑冠麻鷺,1,407,407,407,43.2,43.2,43.2,256,256,256,98,98,98,69.9,69.9,69.9,431.8,431.8,431.8,rufous,brown,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,38,2,10,0,0,2,8,8,12,18,2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,常見於草地與樹林邊,農場;草地;樹林邊
Eastern Cattle Egret,黃頭鷺,1,421.7,421.7,421.7,52.3,52.3,52.3,246,246,246,88.8,88.8,88.8,82.1,82.1,82.1,275.6,275.6,275.6,rufous,brown,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,5,5,10,8,20,20,5,2,0,0,0,0,0,10,0,0,80,10,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,3,C,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,季節性常見,濕地;草地
Common Kingfisher,翠鳥,1,127.9,127.9,127.9,38.4,38.4,38.4,70.6,70.6,70.6,30.9,30.9,30.9,10,10,10,28.1,28.1,28.1,blue,rufous,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,5,15,0,0,0,0,0,5,75,0,0,0,0,0,40,0,10,0,25,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,A,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.1,0,0,0,0,0,1,水域邊常見,生態池邊;湖岸
Light-vented Bulbul,白頭翁,1,169.1,169.1,169.1,15.1,15.1,15.1,82.2,82.2,82.2,77.2,77.2,77.2,21.4,21.4,21.4,29.7,29.7,29.7,yellow,brown,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0,0,0,0,0,0,55,0,3,5,0,0,0,0,20,20,20,40,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,A,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.5,0,0,0,1,1,0,,樹林;校園綠地
Black Bulbul,紅嘴黑鵯,1,209.7,209.7,209.7,23.5,23.5,23.5,113.5,113.5,113.5,94.3,94.3,94.3,19.1,19.1,19.1,52.3,52.3,52.3,gray,black,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,0,0,0,0,0,10,0,0,0,40,5,0,0,0,0,0,0,0,15,40,40,5,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,,樹林
Swinhoe’s White-eye,斯氏繡眼,1,92.8,92.8,92.8,11.3,11.3,11.3,52.5,52.5,52.5,37.5,37.5,37.5,16.2,16.2,16.2,9,9,9,green,yellow,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,70,0,0,0,30,0,0,0,0,0,0,0,0,0,0,25,0,0,5,0,0,0,0,0,0,30,30,10,0,0,0,0,0,0,15,5,80,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,A,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.8,0,0,1,1,1,1,,樹林;綠籬
Taiwan Barbet,五色鳥,1,188.9,188.9,188.9,24.2,24.2,24.2,96.8,96.8,96.8,62.4,62.4,62.4,28,28,28,82.9,82.9,82.9,blue,green,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,60,0,0,5,0,0,0,0,0,0,40,60,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.5,0,0,0,1,1,0,特有種,樹林
Eurasian Magpie,喜鵲,1,480,480,480,33.4,33.4,33.4,200.8,200.8,200.8,212.9,212.9,212.9,50.6,50.6,50.6,174.8,174.8,174.8,blue,black,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5,5,20,0,0,0,10,10,10,10,0,20,5,0,5,0,0,0,0,0,100,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.5,0,0,0,0,0,1,引進常見,草地;樹林邊;建築邊
